Year,Meat,Amount
2000,Beef,100
2000,Poultry,100
2000,Pork,100
2001,Beef,104.3
2001,Poultry,107.8
2001,Pork,102.4
2002,Beef,101.2
2002,Poultry,112.1
2002,Pork,103.4
2003,Beef,94.5
2003,Poultry,121.6
2003,Pork,106.9
2004,Beef,97.6
2004,Poultry,133.3
2004,Pork,108.8
2005,Beef,90.3
2005,Poultry,135.2
2005,Pork,113.8
2006,Beef,92.4
2006,Poultry,134.3
2006,Pork,118
2007,Beef,92
2007,Poultry,146.9
2007,Pork,126.3
2008,Beef,93.2
2008,Poultry,163.3
2008,Pork,129.9
2009,Beef,92.5
2009,Poultry,168.9
2009,Pork,133.6
2010,Beef,93.8
2010,Poultry,180.8
2010,Pork,139.4
2011,Beef,91.2
2011,Poultry,186.6
2011,Pork,142.7
2012,Beef,89.4
2012,Poultry,187.1
2012,Pork,139.2
2013,Beef,87.1
2013,Poultry,190.9
2013,Pork,140
2014,Beef,89.2
2014,Poultry,200.1
2014,Pork,140.6
2015,Beef,89.2
2015,Poultry,199.3
2015,Pork,141.9
2016,Beef,90.3
2016,Poultry,200.1
2016,Pork,142.3
2017,Beef,88.9
2017,Poultry,198.5
2017,Pork,140.1
2018,Beef,86.7
2018,Poultry,205.9
2018,Pork,136.1
2019,Beef,87.5
2019,Poultry,207.6
2019,Pork,133.2
2020,Beef,85.4
2020,Poultry,211.5
2020,Pork,130.3
2021,Beef,84.4
2021,Poultry,208.1
2021,Pork,126.6
2022,Beef,77.5
2022,Poultry,202.1
2022,Pork,114.2
