Year,Beef,Poultry,Pork
2000,100,100,100
2001,104.3,107.8,102.4
2002,101.2,112.1,103.4
2003,94.5,121.6,106.9
2004,97.6,133.3,108.8
2005,90.3,135.2,113.8
2006,92.4,134.3,118
2007,92,146.9,126.3
2008,93.2,163.3,129.9
2009,92.5,168.9,133.6
2010,93.8,180.8,139.4
2011,91.2,186.6,142.7
2012,89.4,187.1,139.2
2013,87.1,190.9,140
2014,89.2,200.1,140.6
2015,89.2,199.3,141.9
2016,90.3,200.1,142.3
2017,88.9,198.5,140.1
2018,86.7,205.9,136.1
2019,87.5,207.6,133.2
2020,85.4,211.5,130.3
2021,84.4,208.1,126.6
2022,77.5,202.1,114.2
